id,question,answer,expected_source_ids,retrieved_source_ids,relevance,groundedness,completeness,citation_correctness,unsupported_claims,hallucinated
q001,What information is needed before starting online business registration?,"To begin online business registration, specific documents are required to activate an account, followed by providing detailed information within that account through the Ministry of Commerce's website [2].

For initial account activation:
*   Entrepreneurs must create an account at `www.businessregistration.moc.gov.kh` and upload their national ID cards or passports [2].

After the online account is created, entrepreneurs are required to provide additional information through their account, including:
*   The proprietorship of the enterprise (for example, whether it is a joint or sole proprietorship) [2].
*   A proposed and reserved name for the enterprise [2].
*   A general description of business activities [2].
*   The address and contacts of the owner [2].
*   The number of employees [2].

*(Note: The new unified process allows registration at MoC, GDT, and MLVT in one go using a Single Portal, simplifying procedures previously requiring separate registrations at different ministries/institutions [1]).*",['online_business_registration_guide'],"['online_business_registration_guide', 'supporting_msmes_sdgs_cambodia', 'online_business_registration_guide', 'online_business_registration_guide', 'obr_who_can_register']",5,5,5,5,[],False
q002,How does Cambodia online business registration work?,"Business registration in Cambodia can be initiated through the One Portal system, which provides a user guide for the process [5]. The general sequence of steps includes:

1.  **Name Search:** Starting with the Name Search and confirmation [4], you must select and confirm your business name and structure [5].
2.  **Legal Entity Registration (MOC):** To become a legal entity, an entrepreneur can apply for approval for a Memorandum of Association (MoA) and company registration at the Single Point Service Center [2]. This single process allows the submission and receipt of all documents needed to obtain:
    *   Approval for MoA and evidence of the company as a legal entity [2].
    *   Taxpayer Identification Number (TIN) [2].
    *   Registration for social security and the Workmen’s Compensation Fund [2].
    This entire step can be completed within one day in one window [2].
3.  **Tax Registration:** If your annual revenue exceeds a threshold of THB 1.8 million, Value Added Tax (VAT) registration is mandatory for all companies and can be completed online or by visiting the Revenue Department office [2]. Furthermore, if you have staff members, applying for National Social Security Fund (NSSF) is required [4], [5].
4.  **Final Steps:** Following these steps, additional procedures may include:
    *   Business registration with the Ministry of Commerce (MOC) [4].
    *   Tax registration with the General Department of Tax (GDT) [4].
    *   Declaration of opening with the Ministry of Labor and Vocational Training (MoLVT) [4].
    *   Obtaining necessary licenses and permits, which vary based on the type of business and industry [4].",['online_business_registration_guide'],"['supporting_msmes_sdgs_cambodia', 'supporting_msmes_sdgs_cambodia', 'online_business_registration_guide', 'khmersme_starting_business', 'khmersme_starting_business_step_5']",5,1,2,1,"['apply for approval for a Memorandum of Association (MoA) and company registration at the Single Point Service Center', 'obtain Taxpayer Identification Number (TIN) through the Single Point Service Center', 'Registration for social security and the Workmen’s Compensation Fund through the Single Point Service Center', 'The legal entity registration process in Cambodia can be completed within one day in one window', 'VAT registration in Cambodia is mandatory if annual revenue exceeds a threshold of THB 1.8 million']",True
q003,Which agencies participate in online business registration?,"The agencies that participate in online business registration through the Single Portal are MoC, GDT, and MLVT [2]. They utilize their respective systems (MOC System, GDT System, and MLVT System) for this procedure [2].",['online_business_registration_guide'],"['online_business_registration_guide', 'online_business_registration_guide', 'online_business_registration_guide', 'obr_who_can_register', 'online_business_registration_guide']",5,5,5,5,[],False
q004,What documents support an online registration application?,"For business registration in Cambodia, required documents depend on whether you are referring to the initial online account setup or the subsequent physical submission of application files.

**1. Online Account Setup Requirements:**
*   To activate an online account, entrepreneurs must upload their national ID cards or passports [1].

**2. Documents Submitted to Ministry of Commerce (MoC) / General Department of Taxation (GDT):**
While the initial registration starts online, subsequent physical documents are required for completion:

*   **Ministry of Commerce/Proprietary Requirements:** Within 15 days after creating an online account, entrepreneurs must submit several original and copied documents to the Ministry of Commerce or its provincial branches [1]. These include:
    *   Documents listing the name, address, contact details, and proprietary type of the enterprise [1].
    *   Original copies of agreement on company shareholding structure [1].
    *   Photos, identity cards, or passports of owners, shareholders, and board members [1].
    *   A letter signed by owners declaring non-criminal records in any commercial, civic, or criminal cases. This declaration must also confirm that the owners are not government officials bound by Civil Servants Statutes of the Kingdom of Cambodia [1].
    *   Two original copies of the enterprise statute or by-law, along with a statement of bank deposits [1].

*   **Ministry of Economy and Finance Requirements (Via Single Portal):** Specific documents required for business registration include [2]:
    *   Land title or lease agreement of the enterprise’s location [2].
    *   Current photo (no longer than 3 months) of the director, shareholder (if a physical person), and/or representative (if a legal entity) with a white background [2].
    *   National identification card of the director, shareholder (if a physical person), and/or representative (if a legal entity) [2].
    *   Articles of association [2].
    *   A reference document (e.g., a letter specifying an already-exsisted company's permission to use a similar name or special licenses) [2].
    *   If the shareholder is a legal entity, required documents include: Parent company’s authorization letter*, Parent company’s certificate*, and Parent company’s articles of association* [2].

**3. Documents Required for Tax Registration:**
Documents submitted for tax registration purposes may include [2]:
*   Proof of paid property tax or property information of the enterprise [2].
*   QIP document (if applicable) [2].
*   Bank account information (this must be provided in digital form within 15 working days after tax registration) [2].",['online_business_registration_guide'],"['supporting_msmes_sdgs_cambodia', 'online_business_registration_guide', 'supporting_msmes_sdgs_cambodia', 'online_business_registration_guide', 'online_business_registration_guide']",5,4,5,5,['Ministry of Economy and Finance Requirements (Via Single Portal)'],True
q005,How can an applicant use the online registration guide?,"An applicant can use the online registration system through guides and support features, such as:

*   **User-guide book:** The Online business registration procedure (OBR) provides a User-guide book to assist with preparation for registration [3].
*   **Process Guidance:** Guides detailing how to register your business are available online from the Ministry of Economy and Finance [1], [2].
*   **Support Channels:** For inquiries or problems, applicants can contact the support team via:
    *   Facebook page [3]
    *   Live Chat [3]
    *   Email ([email protected]) [3]
    *   Hotline 081 888 296 (extension 1) [3]

Furthermore, the online registration system features designed to be user-friendly include illustrating every step of the process clearly and providing comprehensible feedback [3].",['online_business_registration_guide'],"['online_business_registration_guide', 'online_business_registration_guide', 'obr_who_can_register', 'online_business_registration_guide', 'gdt_tax_faq']",5,3,5,1,['Guides detailing how to register your business are available online from the Ministry of Economy and Finance'],True
q006,Who may register a business through the Online Business Registration system?,Entrepreneurs are all eligible to register their own business using the Online Business Registration system because it is user-friendly and secured [3].,['obr_who_can_register'],"['online_business_registration_guide', 'online_business_registration_guide', 'obr_who_can_register', 'online_business_registration_guide', 'online_business_registration_guide']",5,5,5,1,[],False
q007,Which legal business forms can use the OBR platform?,"Based on the evidence, businesses registering through the system must understand the appropriate form of enterprise, which can include several types [5].

The documents detail the following primary forms:

1.  **Company:** This is a limited liability company whose shareholders are responsible only for the number of shares they have bought [5]. It has separated legal entity from its shareholders and is controlled by a Board of Shareholders [5]. Companies can include private limited companies or public limited companies (the latter being authorized by law to issue securities to the public) [5].
2.  **Foreign Company:** This type is incorporated under the laws of a foreign country but has a business location in Cambodia, operating as an agent for its parent company [5]. Foreign companies include three sub-forms:
    *   Foreign branch office
    *   Commercial representative office
    *   Subsidiary [5] (Any subsidiary must be registered in the form of partnership or company [3]).
3.  **Sole Proprietorship:** This is a form where there is a single owner; it is an unlimited liability company, not a legal entity, and its assets and liabilities are those of the proprietor [3].
4.  **Partnership:** A partnership is formed by a contract between two or more persons. It can be either a general partnership (which is managed by general partners) or a limited partnership [3].",['obr_who_can_register'],"['obr_who_can_register', 'online_business_registration_guide', 'online_business_registration_guide', 'online_business_registration_guide', 'online_business_registration_guide']",5,5,5,1,[],False
q008,Can an eligible entrepreneur submit registration online?,"Yes, an entrepreneur is eligible to register their own business through online business registration, which is described as a user-friendly and secured procedure [2].",['obr_who_can_register'],"['online_business_registration_guide', 'obr_who_can_register', 'online_business_registration_guide', 'online_business_registration_guide', 'online_business_registration_guide']",5,5,5,1,[],False
q009,What applicants qualify for online business registration?,"According to evidence, all entrepreneurs are eligible to register their own business through online business registration because the process is described as user-friendly and secured [2].",['obr_who_can_register'],"['online_business_registration_guide', 'obr_who_can_register', 'online_business_registration_guide', 'online_business_registration_guide', 'online_business_registration_guide']",5,5,5,1,[],False
q010,Where can I check whether my business can use OBR?,The knowledge base does not contain enough information to answer this question.,['obr_who_can_register'],"['obr_who_can_register', 'online_business_registration_guide', 'obr_modify_registratioin_forms', 'online_business_registration_guide', 'online_business_registration_guide']",1,1,1,1,['The knowledge base does not contain enough information to answer this question.'],True
